Indicator Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
F01_T0,C,C,C,D,C,C,C,B,C,C,B,C,D,D,C,C,D,B,C,C,D,C,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,B,B,B,C,B,C,C,C,C,C,D,C,D,D,C,C,C,D
F02_T0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,B,C,B,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C,C
F03_T0,B,B,B,B,C,C,C,C,C,C,C,C,C,C,B,B,C,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C
F04_T0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B,B,B,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F05_T0,B,B,B,B,B,D,D,C,C,C,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,C,C,B,B,B,B,B,A,B,B,B,B,B,B,C,B,B,B,C,B,C,B,C,C,B
F06_T0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,D,D,D,D,D,C,C,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,D,C,C,C,D,C,C,C,D,C,D,D,D,D,D
F07_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,D,D,D,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F08_T0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,C,D,D,C,C,C,D,D,C,C,C,D,C,D,C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D
F09_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,D,C,D,D,D,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F10_T0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,B,B,C,B,B,C,C,C,B,C,C,C,B,B,B,C,C,C,C,B,B,B,C,C,B,B,B,C,C,C,B,C,C,C,C,C,C,C,C
F11_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,D,C,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F12_T0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,D,C,D,C,D,D,C,C,C,C,C,D,B,B,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D
F13_T0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F14_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,D,B,D,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F15_T0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,C,D,D,D,C,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01_T0,B,B,B,C,B,C,C,C,C,C,C,C,C,C,A,B,B,C,A,B,B,B,B,B,B,C,B,B,B,B,B,B,B,C,B,B,B,C,C,D,C,B,B,B,B,C,C,B,B,B,C,C,B,B,B,B,C
H02_T0,B,C,B,B,C,B,B,C,B,B,B,C,B,C,C,C,C,B,B,B,B,D,B,D,B,D,B,B,B,D,C,C,C,C,B,C,C,B,B,C,B,B,B,B,B,C,C,C,C,B,C,B,B,C,B,B,C
H03_T0,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,D,C,B,A,C,D,D,C,C,D,D,B,D,D,C,B,B,D,C,C,C,B,C,C,C,C,C,B,B,B,C,C,B,B,D,D,D,D,D,D,D,D
H04_T0,B,B,A,A,A,A,A,B,B,B,B,B,B,C,B,A,A,B,B,B,B,B,A,A,B,B,A,B,A,B,B,A,B,B,A,B,A,A,A,B,A,C,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A
H05_T0,B,A,A,A,A,A,A,A,A,A,A,B,B,C,A,A,A,B,B,B,B,B,B,A,B,B,A,B,A,B,A,A,B,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A
